period,year,month,quarter,continentId,continentName,value,quantity
2021-01,2021,1,1,1A,ทวีปเอเชีย,1262309335.0,9164981.0
2021-01,2021,1,1,1C,ทวีปอเมริกาเหนือ,4719730.0,24677.0
2021-01,2021,1,1,1F,ทวีปออสเตรเลีย,1056445.0,2199.0
2021-01,2021,1,1,1B,ทวีปยุโรป,1260175.0,4194.0
2021-02,2021,2,1,1A,ทวีปเอเชีย,3258158347.0,24032840.0
2021-02,2021,2,1,1C,ทวีปอเมริกาเหนือ,6437248.0,21351.0
2021-02,2021,2,1,1F,ทวีปออสเตรเลีย,1930845.0,2936.0
2021-02,2021,2,1,1B,ทวีปยุโรป,1687108.0,4150.0
2021-03,2021,3,1,1A,ทวีปเอเชีย,1767689549.0,12918144.0
2021-03,2021,3,1,1C,ทวีปอเมริกาเหนือ,3569249.0,11139.0
2021-03,2021,3,1,1F,ทวีปออสเตรเลีย,932871.0,1289.0
2021-03,2021,3,1,1B,ทวีปยุโรป,855611.0,2268.0
2021-04,2021,4,2,1A,ทวีปเอเชีย,21170728467.0,162586687.0
2021-04,2021,4,2,1C,ทวีปอเมริกาเหนือ,19718307.0,64463.0
2021-04,2021,4,2,1F,ทวีปออสเตรเลีย,2675597.0,4116.0
2021-04,2021,4,2,1B,ทวีปยุโรป,4544291.0,9128.0
2021-05,2021,5,2,1A,ทวีปเอเชีย,28880363454.0,243053186.0
2021-05,2021,5,2,1C,ทวีปอเมริกาเหนือ,62847413.0,182763.0
2021-05,2021,5,2,1F,ทวีปออสเตรเลีย,15145978.0,25454.0
2021-05,2021,5,2,1B,ทวีปยุโรป,29063921.0,75298.0
2021-06,2021,6,2,1A,ทวีปเอเชีย,12145311591.0,93996185.0
2021-06,2021,6,2,1C,ทวีปอเมริกาเหนือ,57100038.0,158902.0
2021-06,2021,6,2,1F,ทวีปออสเตรเลีย,13728554.0,24778.0
2021-06,2021,6,2,1B,ทวีปยุโรป,20613409.0,53232.0
2021-07,2021,7,3,1A,ทวีปเอเชีย,14399234099.0,122078017.0
2021-07,2021,7,3,1C,ทวีปอเมริกาเหนือ,40778430.0,132821.0
2021-07,2021,7,3,1F,ทวีปออสเตรเลีย,12010471.0,21084.0
2021-07,2021,7,3,1B,ทวีปยุโรป,15827435.0,45140.0
2021-08,2021,8,3,1A,ทวีปเอเชีย,15081214411.0,131849568.0
2021-08,2021,8,3,1C,ทวีปอเมริกาเหนือ,33790359.0,112008.0
2021-08,2021,8,3,1F,ทวีปออสเตรเลีย,9472512.0,18219.0
2021-08,2021,8,3,1B,ทวีปยุโรป,16137417.0,48347.0
2021-08,2021,8,3,1E,ทวีปแอฟริกา,106217.0,670.0
2021-09,2021,9,3,1A,ทวีปเอเชีย,4187036211.0,32592155.0
2021-09,2021,9,3,1C,ทวีปอเมริกาเหนือ,16079748.0,37145.0
2021-09,2021,9,3,1F,ทวีปออสเตรเลีย,2913237.0,4475.0
2021-09,2021,9,3,1B,ทวีปยุโรป,8363946.0,23686.0
2021-09,2021,9,3,1E,ทวีปแอฟริกา,147060.0,356.0
2021-10,2021,10,4,1A,ทวีปเอเชีย,1580913569.0,10642412.0
2021-10,2021,10,4,1C,ทวีปอเมริกาเหนือ,5810681.0,18757.0
2021-10,2021,10,4,1F,ทวีปออสเตรเลีย,2398072.0,3461.0
2021-10,2021,10,4,1B,ทวีปยุโรป,4364417.0,13686.0
2021-10,2021,10,4,1E,ทวีปแอฟริกา,106275.0,1122.0
2021-11,2021,11,4,1A,ทวีปเอเชีย,2173827340.0,13672416.0
2021-11,2021,11,4,1C,ทวีปอเมริกาเหนือ,3050473.0,11938.0
2021-11,2021,11,4,1F,ทวีปออสเตรเลีย,555946.0,1747.0
2021-11,2021,11,4,1B,ทวีปยุโรป,3539987.0,10103.0
2021-11,2021,11,4,1E,ทวีปแอฟริกา,0.0,0.0
2021-12,2021,12,4,1A,ทวีปเอเชีย,2839494415.0,17345897.0
2021-12,2021,12,4,1C,ทวีปอเมริกาเหนือ,13688967.0,31844.0
2021-12,2021,12,4,1F,ทวีปออสเตรเลีย,194545.0,502.0
2021-12,2021,12,4,1B,ทวีปยุโรป,2620148.0,7935.0
2021-12,2021,12,4,1E,ทวีปแอฟริกา,0.0,0.0
2022-01,2022,1,1,1A,ทวีปเอเชีย,1568644605.0,8705110.0
2022-01,2022,1,1,1C,ทวีปอเมริกาเหนือ,4035783.0,15928.0
2022-01,2022,1,1,1B,ทวีปยุโรป,3989266.0,9565.0
2022-01,2022,1,1,1F,ทวีปออสเตรเลีย,874419.0,1197.0
2022-02,2022,2,1,1A,ทวีปเอเชีย,225732549.0,1413157.0
2022-02,2022,2,1,1C,ทวีปอเมริกาเหนือ,3926798.0,15278.0
2022-02,2022,2,1,1F,ทวีปออสเตรเลีย,551095.0,901.0
2022-02,2022,2,1,1B,ทวีปยุโรป,1391604.0,3394.0
2022-03,2022,3,1,1A,ทวีปเอเชีย,1764890993.0,11784331.0
2022-03,2022,3,1,1C,ทวีปอเมริกาเหนือ,3588780.0,17545.0
2022-03,2022,3,1,1F,ทวีปออสเตรเลีย,219849.0,499.0
2022-03,2022,3,1,1B,ทวีปยุโรป,1361955.0,4338.0
2022-04,2022,4,2,1A,ทวีปเอเชีย,18775865619.0,133364411.0
2022-04,2022,4,2,1C,ทวีปอเมริกาเหนือ,22288463.0,64180.0
2022-04,2022,4,2,1F,ทวีปออสเตรเลีย,6699255.0,7618.0
2022-04,2022,4,2,1B,ทวีปยุโรป,11879727.0,32774.0
2022-05,2022,5,2,1A,ทวีปเอเชีย,34766010087.0,274764560.0
2022-05,2022,5,2,1C,ทวีปอเมริกาเหนือ,65264311.0,178202.0
2022-05,2022,5,2,1F,ทวีปออสเตรเลีย,19762751.0,31699.0
2022-05,2022,5,2,1B,ทวีปยุโรป,34587234.0,99635.0
2022-05,2022,5,2,1E,ทวีปแอฟริกา,301868.0,900.0
2022-06,2022,6,2,1A,ทวีปเอเชีย,20774137046.0,168093857.0
2022-06,2022,6,2,1C,ทวีปอเมริกาเหนือ,37239292.0,96755.0
2022-06,2022,6,2,1F,ทวีปออสเตรเลีย,14840400.0,25584.0
2022-06,2022,6,2,1B,ทวีปยุโรป,31303588.0,96377.0
2022-06,2022,6,2,1E,ทวีปแอฟริกา,258084.0,1514.0
2022-07,2022,7,3,1A,ทวีปเอเชีย,14174906763.0,107709634.0
2022-07,2022,7,3,1C,ทวีปอเมริกาเหนือ,26548055.0,71669.0
2022-07,2022,7,3,1F,ทวีปออสเตรเลีย,12106548.0,21561.0
2022-07,2022,7,3,1B,ทวีปยุโรป,28522092.0,81672.0
2022-07,2022,7,3,1E,ทวีปแอฟริกา,140800.0,668.0
2022-08,2022,8,3,1A,ทวีปเอเชีย,2509845003.0,19603227.0
2022-08,2022,8,3,1C,ทวีปอเมริกาเหนือ,14530839.0,36355.0
2022-08,2022,8,3,1F,ทวีปออสเตรเลีย,2878843.0,4666.0
2022-08,2022,8,3,1B,ทวีปยุโรป,9888401.0,24199.0
2022-08,2022,8,3,1E,ทวีปแอฟริกา,378799.0,851.0
2022-09,2022,9,3,1A,ทวีปเอเชีย,693179532.0,4720233.0
2022-09,2022,9,3,1C,ทวีปอเมริกาเหนือ,4136581.0,11545.0
2022-09,2022,9,3,1F,ทวีปออสเตรเลีย,447065.0,972.0
2022-09,2022,9,3,1B,ทวีปยุโรป,2281587.0,6916.0
2022-09,2022,9,3,1E,ทวีปแอฟริกา,286383.0,610.0
2022-10,2022,10,4,1A,ทวีปเอเชีย,853875737.0,5466880.0
2022-10,2022,10,4,1C,ทวีปอเมริกาเหนือ,5415175.0,19967.0
2022-10,2022,10,4,1F,ทวีปออสเตรเลีย,170454.0,464.0
2022-10,2022,10,4,1B,ทวีปยุโรป,2450724.0,9082.0
2022-10,2022,10,4,1E,ทวีปแอฟริกา,72000.0,75.0
2022-11,2022,11,4,1A,ทวีปเอเชีย,5632112313.0,36579651.0
2022-11,2022,11,4,1C,ทวีปอเมริกาเหนือ,7059260.0,23279.0
2022-11,2022,11,4,1F,ทวีปออสเตรเลีย,2017134.0,3328.0
2022-11,2022,11,4,1B,ทวีปยุโรป,7857760.0,24375.0
2022-11,2022,11,4,1E,ทวีปแอฟริกา,33030.0,186.0
2022-12,2022,12,4,1A,ทวีปเอเชีย,7996440904.0,53911335.0
2022-12,2022,12,4,1C,ทวีปอเมริกาเหนือ,11069376.0,33030.0
2022-12,2022,12,4,1F,ทวีปออสเตรเลีย,1500265.0,2587.0
2022-12,2022,12,4,1B,ทวีปยุโรป,6171876.0,19875.0
2022-12,2022,12,4,1E,ทวีปแอฟริกา,236574.0,1067.0
2023-01,2023,1,1,1A,ทวีปเอเชีย,2502004773.0,16571522.0
2023-01,2023,1,1,1C,ทวีปอเมริกาเหนือ,3898283.0,17127.0
2023-01,2023,1,1,1B,ทวีปยุโรป,2801059.0,8736.0
2023-01,2023,1,1,1F,ทวีปออสเตรเลีย,156076.0,410.0
2023-01,2023,1,1,1E,ทวีปแอฟริกา,124292.0,757.0
2023-02,2023,2,1,1A,ทวีปเอเชีย,2945472153.0,18086877.0
2023-02,2023,2,1,1C,ทวีปอเมริกาเหนือ,4784952.0,17356.0
2023-02,2023,2,1,1F,ทวีปออสเตรเลีย,1220549.0,1710.0
2023-02,2023,2,1,1B,ทวีปยุโรป,3668002.0,11728.0
2023-02,2023,2,1,1E,ทวีปแอฟริกา,159447.0,620.0
2023-03,2023,3,1,1A,ทวีปเอเชีย,6366283851.0,36650589.0
2023-03,2023,3,1,1C,ทวีปอเมริกาเหนือ,5022795.0,16654.0
2023-03,2023,3,1,1F,ทวีปออสเตรเลีย,1513964.0,2738.0
2023-03,2023,3,1,1B,ทวีปยุโรป,4730647.0,13499.0
2023-03,2023,3,1,1E,ทวีปแอฟริกา,40917.0,120.0
2023-04,2023,4,2,1A,ทวีปเอเชีย,48524198936.0,348362353.0
2023-04,2023,4,2,1C,ทวีปอเมริกาเหนือ,30091028.0,91986.0
2023-04,2023,4,2,1F,ทวีปออสเตรเลีย,9430647.0,14632.0
2023-04,2023,4,2,1B,ทวีปยุโรป,24341912.0,73037.0
2023-04,2023,4,2,1E,ทวีปแอฟริกา,4097448.0,33900.0
2023-05,2023,5,2,1A,ทวีปเอเชีย,12334086105.0,80695764.0
2023-05,2023,5,2,1C,ทวีปอเมริกาเหนือ,26651335.0,59976.0
2023-05,2023,5,2,1F,ทวีปออสเตรเลีย,11608979.0,17233.0
2023-05,2023,5,2,1B,ทวีปยุโรป,33356944.0,81076.0
2023-05,2023,5,2,1E,ทวีปแอฟริกา,64780.0,201.0
2023-06,2023,6,2,1A,ทวีปเอเชีย,29276505179.0,210327138.0
2023-06,2023,6,2,1C,ทวีปอเมริกาเหนือ,44635109.0,106383.0
2023-06,2023,6,2,1F,ทวีปออสเตรเลีย,12353908.0,19715.0
2023-06,2023,6,2,1B,ทวีปยุโรป,41090175.0,105564.0
2023-06,2023,6,2,1E,ทวีปแอฟริกา,225971.0,934.0
2023-07,2023,7,3,1A,ทวีปเอเชีย,15138817259.0,108966653.0
2023-07,2023,7,3,1C,ทวีปอเมริกาเหนือ,29089101.0,77799.0
2023-07,2023,7,3,1F,ทวีปออสเตรเลีย,8324028.0,13336.0
2023-07,2023,7,3,1B,ทวีปยุโรป,24743367.0,60221.0
2023-07,2023,7,3,1E,ทวีปแอฟริกา,206623.0,966.0
2023-08,2023,8,3,1A,ทวีปเอเชีย,8553820897.0,66724080.0
2023-08,2023,8,3,1C,ทวีปอเมริกาเหนือ,21595459.0,66217.0
2023-08,2023,8,3,1F,ทวีปออสเตรเลีย,3539785.0,6416.0
2023-08,2023,8,3,1B,ทวีปยุโรป,25027574.0,58017.0
2023-08,2023,8,3,1E,ทวีปแอฟริกา,156471.0,644.0
