period,year,month,quarter,countryId,countryCode,countryName,continentId,continentName,value,quantity
2021-01,2021,1,1,302,CN,จีน,1A,ทวีปเอเชีย,1036056115.0,7201094.0
2021-01,2021,1,1,303,HK,ฮ่องกง,1A,ทวีปเอเชีย,143343156.0,956186.0
2021-01,2021,1,1,274,VN,เวียดนาม,1A,ทวีปเอเชีย,79841532.0,979043.0
2021-01,2021,1,1,373,US,สหรัฐอเมริกา,1C,ทวีปอเมริกาเหนือ,4719730.0,24677.0
2021-01,2021,1,1,306,KR,เกาหลีใต้,1A,ทวีปเอเชีย,1485367.0,19707.0
2021-01,2021,1,1,483,AU,ออสเตรเลีย,1F,ทวีปออสเตรเลีย,972519.0,1834.0
2021-01,2021,1,1,304,JP,ญี่ปุ่น,1A,ทวีปเอเชีย,579373.0,2233.0
2021-01,2021,1,1,270,MM,เมียนมา,1A,ทวีปเอเชีย,398260.0,2900.0
2021-01,2021,1,1,366,NO,นอร์เวย์,1B,ทวีปยุโรป,371195.0,754.0
2021-01,2021,1,1,285,AE,สหรัฐอาหรับเอมิเรตส์,1A,ทวีปเอเชีย,369030.0,765.0
2021-01,2021,1,1,345,RU,รัสเซีย,1B,ทวีปยุโรป,336951.0,1341.0
2021-01,2021,1,1,320,GB,สหราชอาณาจักร,1B,ทวีปยุโรป,266557.0,1336.0
2021-01,2021,1,1,323,IT,อิตาลี,1B,ทวีปยุโรป,122252.0,135.0
2021-01,2021,1,1,296,SA,ซาอุดีอาระเบีย,1A,ทวีปเอเชีย,120754.0,679.0
2021-01,2021,1,1,497,NZ,นิวซีแลนด์,1F,ทวีปออสเตรเลีย,83926.0,365.0
2021-01,2021,1,1,318,FI,ฟินแลนด์,1B,ทวีปยุโรป,80123.0,203.0
2021-01,2021,1,1,292,KW,คูเวต,1A,ทวีปเอเชีย,40363.0,295.0
2021-01,2021,1,1,316,DK,เดนมาร์ก,1B,ทวีปยุโรป,34770.0,61.0
2021-01,2021,1,1,294,OM,โอมาน,1A,ทวีปเอเชีย,26019.0,227.0
2021-01,2021,1,1,356,CH,สวิตเซอร์แลนด์,1B,ทวีปยุโรป,23479.0,179.0
2021-01,2021,1,1,295,QA,กาตาร์,1A,ทวีปเอเชีย,22642.0,172.0
2021-01,2021,1,1,269,LA,สปป. ลาว,1A,ทวีปเอเชีย,15000.0,1500.0
2021-01,2021,1,1,327,SE,สวีเดน,1B,ทวีปยุโรป,12083.0,97.0
2021-01,2021,1,1,286,BH,บาห์เรน,1A,ทวีปเอเชีย,10996.0,80.0
2021-01,2021,1,1,336,CZ,สาธารณรัฐเช็ก,1B,ทวีปยุโรป,9295.0,78.0
2021-01,2021,1,1,322,IE,ไอร์แลนด์,1B,ทวีปยุโรป,3470.0,10.0
2021-01,2021,1,1,273,SG,สิงคโปร์,1A,ทวีปเอเชีย,728.0,100.0
2021-02,2021,2,1,302,CN,จีน,1A,ทวีปเอเชีย,2868988662.0,20619325.0
2021-02,2021,2,1,303,HK,ฮ่องกง,1A,ทวีปเอเชีย,238981596.0,1844659.0
2021-02,2021,2,1,274,VN,เวียดนาม,1A,ทวีปเอเชีย,143734539.0,1532858.0
2021-02,2021,2,1,373,US,สหรัฐอเมริกา,1C,ทวีปอเมริกาเหนือ,6425377.0,21341.0
2021-02,2021,2,1,304,JP,ญี่ปุ่น,1A,ทวีปเอเชีย,4647800.0,12825.0
2021-02,2021,2,1,306,KR,เกาหลีใต้,1A,ทวีปเอเชีย,1573948.0,21484.0
2021-02,2021,2,1,483,AU,ออสเตรเลีย,1F,ทวีปออสเตรเลีย,1827296.0,2672.0
2021-02,2021,2,1,366,NO,นอร์เวย์,1B,ทวีปยุโรป,347309.0,751.0
2021-02,2021,2,1,345,RU,รัสเซีย,1B,ทวีปยุโรป,188931.0,710.0
