period,year,month,quarter,value,quantity,ytdValue,ytdQuantity
2021-01,2021,1,1,1269345685.0,9196051.0,1269345685.0,9196051.0
2021-02,2021,2,1,3268213548.0,24061277.0,4537559233.0,33257328.0
2021-03,2021,3,1,1773047280.0,12932840.0,6310606513.0,46190168.0
2021-04,2021,4,2,21197666662.0,162664394.0,27508273175.0,208854562.0
2021-05,2021,5,2,28987420766.0,243336701.0,56495693941.0,452191263.0
2021-06,2021,6,2,12236753592.0,94233097.0,68732447533.0,546424360.0
2021-07,2021,7,3,14467850435.0,122277062.0,83200297968.0,668701422.0
2021-08,2021,8,3,15140720916.0,132028812.0,98341018884.0,800730234.0
2021-09,2021,9,3,4214540202.0,32657817.0,102555559086.0,833388051.0
2021-10,2021,10,4,1593593014.0,10679438.0,104149152100.0,844067489.0
2021-11,2021,11,4,2180973746.0,13696204.0,106330125846.0,857763693.0
2021-12,2021,12,4,2855998075.0,17386178.0,109186123921.0,875149871.0
2022-01,2022,1,1,1577544073.0,8731800.0,1577544073.0,8731800.0
2022-02,2022,2,1,231602046.0,1432730.0,1809146119.0,10164530.0
2022-03,2022,3,1,1770061577.0,11806713.0,3579207696.0,21971243.0
2022-04,2022,4,2,18816733064.0,133468983.0,22395940760.0,155440226.0
2022-05,2022,5,2,34885926251.0,275074996.0,57281867011.0,430515222.0
2022-06,2022,6,2,20857778410.0,168314087.0,78139645421.0,598829309.0
2022-07,2022,7,3,14242224258.0,107885204.0,92381869679.0,706714513.0
2022-08,2022,8,3,2537521885.0,19669298.0,94919391564.0,726383811.0
2022-09,2022,9,3,700331148.0,4740276.0,95619722712.0,731124087.0
2022-10,2022,10,4,861984090.0,5496468.0,96481706802.0,736620555.0
2022-11,2022,11,4,5649079497.0,36630819.0,102130786299.0,773251374.0
2022-12,2022,12,4,8015418995.0,53967894.0,110146205294.0,827219268.0
2023-01,2023,1,1,2508984483.0,16598552.0,2508984483.0,16598552.0
2023-02,2023,2,1,2955305103.0,18118291.0,5464289586.0,34716843.0
2023-03,2023,3,1,6377592174.0,36683600.0,11841881760.0,71400443.0
2023-04,2023,4,2,48592159971.0,348575908.0,60434041731.0,419976351.0
2023-05,2023,5,2,12405768143.0,80854250.0,72839809874.0,500830601.0
2023-06,2023,6,2,29374810342.0,210559734.0,102214620216.0,711390335.0
2023-07,2023,7,3,15201180378.0,109118975.0,117415800594.0,820509310.0
2023-08,2023,8,3,8604140186.0,66855374.0,126019940780.0,887364684.0
2023-09,2023,9,3,8245505003.0,62027871.0,134265445783.0,949392555.0
2023-10,2023,10,4,2323939291.0,15921224.0,136589385074.0,965313779.0
2023-11,2023,11,4,1757497091.0,10551487.0,138346882165.0,975865266.0
2023-12,2023,12,4,2708309800.0,15711955.0,141055191965.0,991577221.0
2024-01,2024,1,1,1684519192.0,9176748.0,1684519192.0,9176748.0
2024-02,2024,2,1,1784720600.0,9087534.0,3469239792.0,18264282.0
2024-03,2024,3,1,2316942500.0,10725757.0,5786182292.0,28990039.0
2024-04,2024,4,2,34896204683.0,202577509.0,40682386975.0,231567548.0
2024-05,2024,5,2,42671342888.0,267708425.0,83353729863.0,499275973.0
2024-06,2024,6,2,17839665528.0,118477398.0,101193395391.0,617753371.0
2024-07,2024,7,3,10560565723.0,72734065.0,111753961114.0,690487436.0
2024-08,2024,8,3,8639570698.0,65986087.0,120393531812.0,756473523.0
2024-09,2024,9,3,7905549651.0,62052660.0,128299081463.0,818526183.0
2024-10,2024,10,4,2353099453.0,17479453.0,130652180916.0,836005636.0
2024-11,2024,11,4,2183803222.0,12230827.0,132835984138.0,848236463.0
2024-12,2024,12,4,2016315096.0,10920419.0,134852299234.0,859156882.0
2025-01,2025,1,1,1003677587.0,6154423.0,1003677587.0,6154423.0
2025-02,2025,2,1,1914130053.0,12364648.0,2917807640.0,18519071.0
2025-03,2025,3,1,2584368888.0,15026059.0,5502176528.0,33545130.0
2025-04,2025,4,2,18424577574.0,110164951.0,23926754102.0,143710081.0
2025-05,2025,5,2,40410250539.0,290264056.0,64337004641.0,433974137.0
2025-06,2025,6,2,23248420759.0,206568086.0,87585425400.0,640542223.0
2025-07,2025,7,3,23625620197.0,218220257.0,111211045597.0,858762480.0
2025-08,2025,8,3,7497053869.0,70566842.0,118708099466.0,929329322.0
2025-09,2025,9,3,1286240935.0,10733445.0,119994340401.0,940062767.0
2025-10,2025,10,4,935108711.0,7251025.0,120929449112.0,947313792.0
2025-11,2025,11,4,861887496.0,5511256.0,121791336608.0,952825048.0
2025-12,2025,12,4,3946218341.0,26220460.0,125737554949.0,979045508.0
2026-01,2026,1,1,6679099750.0,48965374.0,6679099750.0,48965374.0
2026-02,2026,2,1,4798677090.0,33770190.0,11477776840.0,82735564.0
2026-03,2026,3,1,2737344568.0,19037907.0,14215121408.0,101773471.0
2026-04,2026,4,2,37328305001.0,276393988.0,51543426409.0,378167459.0
